content,value
"Sí es Shido ser fiel Yo sabía que lo era. Qué me pasó esas veces? O sea, fue desde mi primer novio en CCH...",P
Desde hace 20 minutos se escucha una alarma y me da mucho coraje porque eso significa que la persona sigue dormida y yo aquí con sueño,N
Lo mejor de estas fechas es que con el frio vienen los suéters y con ellos solo tengo que planchar el 15% de la camisa... #NavidadGodin,P
@FelipeGNE por??? hay bueno si un café! Yo tmbn elegí que ya no salgo hoy! A que hora llegas?,NONE
@maferalatriste creo q el único,NONE
@EduardoRamos95R aquí ando me enferme de la garganta jajaja ntp sígue jugando amor te amo mucho! Te extraño popochas,P
Top de cosas inútiles que guardo en mi memoria: - Diálogos completos de Shrek2 - Dos canciones de Selena Gómez - Su número de teléfono,P
"Desperté casi a las 11:00 am. No me juzguen. Tengo el nombre de la princesa que estuvo dormida toda la película, ¿que esperaban?",NEU
"Qué triste de veras cuando tienes antojo brutal de un Blizzard, crees que el del mes no tiene pierde, y resulta estar muy malo",N
"@DaniaRoberta A los delincuentes llamados ""POLITICOS"" solo les interesa ATASCARSE de dinero y propiedades... eso si, los domingos a MISA!",N
@balucorp ni has estado feo,P
"@_NoSoyArtista @Telcel @ATT pues si, yo creo, mi papá me dejo un equipo att y al igual lo uso mejor, porque ya estoy harta de esto.",N
"@AscNati si si ya estuve haha desde el jueves en la mañana,ahorita ya voy saliendo de la central nueva,a mi también me llenó rápido",P
"Sí, mi vida, estás muy linda, tienes un cuerpazo, pero déjame te presento al cepillo de dientes y la pasta",N
@SaulSeguraB Pionera en nuestra colonia,P
@marthaor2010 10pax -$200 20pax - $320 10 pax rellena - $280 20 pax rellena - $400 Relleno sugerido es de cajeta o cajeta con nuez,NONE
@travel_gaia 10pax -$200 20pax - $320 10 pax rellena - $280 20 pax rellena - $400 Relleno sugerido es de cajeta o cajeta con nuez,NONE
Triste es no poder ver series en la TV por qué soy tan ciego que ya no alcanzo a leer los subtítulos.,N
"Buenos días!!! Los retos en la vida no están ahí para paralizarte, sino para ayudarte a descubrir quién y que tan fuerte eres... Besitos",P
"@JJSanchezB Tenemos la Pre inauguración de la e de #Barbie el viernes 6 de enero, y el sábado 7 de enero sería día normal",NONE
"@OyeeDanny Ya sé, ¿Quién los entiende? Verdad ? El sabe lo que hace, y vaya que lo ha hecho más que bien. Es grande @peladoalmeyda",P
"Cuidando a mi enfermita, hoy no se trabaja dice ella y esta perfecto día de camita! yo malita tu malita chin me toco ser la enfermera!",N
@samymtzl va a ganar tu tio @lopezobrador_,P
"@Ale_Jaramillo A los años por aquí hermosa, ya ni te has de acordar de tu fiel seguidor Un abrazo inmenso en este nuevo año. Bendiciones.",P
"@chocoloveAc tenemos muchas ganas de verte!!! Te extrañamos muchísimo, vuelve pronto porfavor!!!! te queremos mucho",P
"OMFG mi conductor de uber acaba de pasar por un bache gigante y ahora el coche va haciendo ruidos raros. Pobre, le va a costar carísimo.",N
"@Djrossana que tengan un lindo martes y que todos tus sueños se hagan realidad Sé tu misma, No copies Modas Eres Mi ejemplo a seguir",P
@walkiriaflor Pues no estaba bromenado,N
"Pues yo llevo 2 meses haciendo #gazolinazo; no tengo dinero para reparar mi carro. Y creo que ahora, después de esto, se irá al yonke.",N
Que lindos recuerditos al mirar nuestras fotos de un 3 de enero 2016 conviviendo ella con mi familia. Hoy hace un año.,P
"Si me dieran cualquier deseo del mundo,solo pediría una sola cosa ... ""regresar el tiempo"" , tengo mis dudas sobre Dios pero.. ayúdame!",NEU
"@EduardoRamos95R descansa gordis, mañana nos vemos no tardes por favor si? Sueña bonito, te amo muchísimo un besito en la frente",P
Que más quisiera estar allá y abrazarte! Qué feo que el amor de mi vida se haya accidentado y yo por acá,N
Estaba contando que mi mamá tiene como 9 grupos de WA y yo sólo tengo el de mi salón que está silenciado por un año,N
"@EduardoRamos95R yumi  te amo, estoy viendo la serie y tu?  también te extraño mañana te veo?",P
Madurar es mas divertido contigo,P
"La música de U2 me deprime sobretodo la de Stay (Far Away, So Close!) maldita sea para que los puse",N
"@lili_blend ahora te entiendo, roji! Hoy que salí sola me di cuenta que no dejé de morderme los labios todo el tiempo de nervios y miedo",N
Durmiendo tan rico y sólo me hablan para chingar.... Y dicen q yo soy el q tiene una vida de mierda y bla bla bla,N
"@IbanezXaro jajaja ya ves lo que ocasiona tu ausencia prolongada, mi cuate no me habla y mi sobrina me desconoce",N
"@LizHeidern Hace streams buenos, a veces está muy vacío su chat, pero se pone bueno el ambiente con @L337LAG.",P
El reboot de Jumanji puede romper mi corazón x2. Porque puede ser horrible y además pueden arruinar la imagen que tengo de The Rock,N
Estaba pensando en todas las cosas divertidas que quiero hacer este semestre y luego me acordé de lo que metí y pues no va a pasar,N
"Hasta me das risa @realDonaldTrump, por que el único afectado seras tu y tu país y ante tus propios ojos veras su destrucción total.",N
@Yo_Soy_B es que aquí no hay así que diga edificios y lugares históricos y los que hay son como 3 y ya no esta chido por eso lo digo.,N
"Tenia la idea de comprar un carro este año, pero ahora nevermind, me tendre que traer a petunia(mi bici) a TJ",N
Lo más triste es que cuando regrese a clases no voy a poder darme el lujo de ir a mi casa cada fin de semana,N
"Que bueno que no soy mamá, sería la peor de todas, les daría puro jugo verde y Macaroon and cheese feo",N
@FridaSante 2 cosas 1 mal que no me sigues 2 mandale un saludo a azul si? (el amor de mi vida ),N
@juanchogerk9 lo peor es que mucha gente vive de vender juguetes y por esto este año les irá mal (día de reyes) todo el centro esta solo,N
"Lo bueno de crecer es que cosas que antes causaban un efecto emocional en mí, ahorita me vale madreeee #QueBonitoEsLoBonito",P
Mi tío me contó que iba en el metro bus y que un cabron dijo por teléfono que se hubiera agarrado la Pantalla en lugar de la licuadora,N
Me acorde cuando era niño y me trajeron un balón y eso hizo que amara algo y hasta ahora me apasiona el fútbol,P
¿Por qué dicen que ando en modo mamona? ¿qué no saben que soy la persona más aburrida para platicar? Les have falta tratarme más,N
es bien raro no estar en la escuela a esta hora :c la neta sí extraño eso y apenas van dos días de clases jajajaja,N
"#fiesta17millones @yuyacst HERMOSA, MIL FELICIDADES, esta familia crece y creceP NO TE GUSTÓ MI DIBUJITO QUE TE HICE?",P
"Mañana va a haber muchos niñitos con una primer patineta. Si ven a uno, apoyen y ayudenlo. Estará frente a ustedes un nuevo skateboard.",P
Lo pendejo se mide en comparación del número de veces que te encabronas por un twiit que ni siquiera era dirigido a ti,N
"Queridos reyes quiero: 1. Voluntad para dejar de tragar... Y ya con eso toda mi vida se resuelve, ah sí bueno y un dragón",N
"Hoy le pedí a Dios una señal realmente obvia, para poder tomar una importante decisión, y mas clara no pudo estar. Gracias #Totales",P
@chelita19_esme hahaha te la curas? con el que sea lo chido es ir Posiblemente contra Tigres vaya sho :v,P
Extraño a Super Junior M #TeamSuperJunior #SOOMPIAWARDS,N
"Cálmala pinche Jesús, si me quiero morir y todo pero no de esta forma tan culera, que me atropelle un carro mejor.",N
Que triste es no tenerte,N
"De Las princesas Ana&Mía a Mórbida mal pedo, qué tan gorda soy si me encontré boronitas en mi papada?",N
Brillas y brillas tan lindo,P
"Hey! @ifCristian espero tengas un muy bonito día, H! Te deseo lo mejor siempre Sé feliz ? y felicidades, una vez más.",P
Como te tardas en contestar,N
@alexMay_Be algo similar me ha pasado,NONE
"Al despedirnos dijo: Have a nice day, y yo le conteste igual, y le dije ay que pendeja, jajaja ay gud bai mai lob.",P
"Al rato rosca de reyes Ya se que no es hoy cuando se parte, pero s mi suegro le gusta hacer las cosas en familia",P
"Tengo hambre,pero si pido cena el chavo de la moto se va a mojar y seria mal pedo",P
"Si no vivo al norte de la ciudad, tengo un iPhone, auto y dinero no soy cool?",N
"Hay días en las que me pongo muy triste, pero no lo demuestro aparte de que a nadie le importa pues a nadie le importa",N
"Chavos no quiero ser pesimista pero siento que el Kit no es pa'mi, ease qué no voy a ganar",N
"Nunca van a encontrar a una amiga como yo,que guarde hasta el mínimo papelito de la secundaria que decía: Hola!Eres súper! Nunca cambies",P
"@ladelbosque29 acude al próximo llamado que hagamos aqui, muy sencillo. Con guantes, zapato cerrado cómodo y si tienes una pick-up mejor!",NONE
@YazarethPalomo te extraño tanto mi amor,P
"Y Maldita sea, me convertí en quien menos queria ser. En la peor versión de mi, cuestión de cambio para un 2017 lleno de positivismo...",N
"Ya no me burlare cuando les pasó algo a mis amigos, por qué luego me sucede algo parecido y ya no me es gracioso",N
"@karlacg_ ayñ, si eso pasa, uno de mis hermanos era super rubio y pues ya no jaja igual está cute tu cabello!",P
Histerica x todo lo que no he actualizado en redes.Quiero tiempo ó 1 comunity manager gratis xq yo como JuanGa y el pais no tengo dinero,N
@Horantheworld20 claro que se puede corregir,P
Pero llegar al hogar me da inmediata alegría en el corazón. Y así es como mis días cierran bonito desde hace un tiempo.,P
Ya viste lo bien que nos divertimos el uno sin el otro. Después de todo nadie es indispensable.,P
"Por que no hacen perfumes de ropa nueva? Es el olor mas hermoso, consumista y de cierto modo capitalista del mundo",N
"@pablocampos98 Andas súper desaparecido de aquí pero se que te la estás pasando súper bonito en tu viaje, y eso me hace muy feliz",P
Extraño que mayito diga babosa (o) Extraño la primera media hora de cotorreo Extraño todo el desmadre de antes jaja,N
@paobarquet que coraje saber que tu y tus compañeros fueron víctimas de gente malandrina por otro lado me da gusto saber que estás bien,N
Siii te traje un tecuerdo @La_Joyita2 pero me extraviaron mi mochila debajo del autobús y pues ahi se perdió Es neta. Hasta mi cel fue.,N
@bettocantu Los juegos de Booktube me dejaron con muchos libros abiertos y quería cerrarlos antes de leer este Creo que si la hago...,NEU
De la nada me empezó a seguir @Chilaquiloteca y me enteré que existe ese servicio... porque a veces también me pasan cosas buenas,N
"Días!!! Si confías en tu mente, tendrás que tomar decisiones toda tu vida. Si confías en tu corazón, será tu última decisión.. Besitos",NEU
"Ya me da miedo dormir con alguien, hablo sola y que tal si digo cosas que no debo",N
@PMovimiento Acuérdense que a lo Hecho en México de mexicano sólo le queda el sudor la tierra y el aire casi todo lo demás es importado,N
Que decepción que gente que lo es todo te oculte cosas. ¿Tan difícil es decir la verdad?,N
"@RuizJanely eres un ángel caído del cielo, fui a buscar de casualidad si estaban en las otras cocinas y no están mis cubiertos",N
"Y por todos lados hablan de los bloqueos, de ENP, de Trump y pinches es muy deprimente",N
¿Porqué las personas no captan la mega no indirecta de enviar flores? Mi escritorio se sigue viendo sin vida jajaja,N
"@Kresnik02 it's never too late, nunca lo tuve en 64, era muy pobre y la verdad ahorita no lo he buscado así que lo comprare digital",P
Escribí un texto bien interesante acerca de la violencia en el noviazgo y de cómo salir de las relaciones tóxicas. Luego lo posteo amigos,P
"Me lleva la tostada con el internet de @izzi_mx. Deje a mis amigos en ARK, con un T-Rex y un Oso.",N
Lo triste de este trimestre: salgo diario hasta las diez y no estaré con todo el crew.,N
"Que te contesten con un ""¿Qué demonios fue todo esto? jajaja"" a un mensaje bonito, sí te mata un poquito.",NEU
"@SirArminDice voy a leer sobre ello Por cierto, no estoy en contra de la propiedad privada, por errores me refería al invididualosmo..",N
4:18 AM. Que gran dilema. ¿Despertar a mamá para que me baje a abrirme o dejar que siga durmiendo? Pd. Venga saliendo del trabajo,NEU
"Cuando me duermo muy tarde planeando proyectos que me apasionan, es un completo goce, inspiracion a la calma de la noche",P
Not Myself Tonight era hermosa pero el video rip off de Bad Romance arruinó todo para mi Queen X,NONE
"7 horas ya desde que salimos de Mendoza y seguimos en Puebla varados... Weeee, mi pobre perrito es demasiado para él",N
Lo siento mucho Perder un abuelo es uno de los dolores mas hondos posibles. Mucha fuerza para ti. @UrielCastillo93,N
No puedo creer que me haya propuesto dejar de fumar un mes y ya casi lo cumpla,P
"@tuamigatuitera pues ya ni nos hablas y si iré, iré como el 20 o algo así de enero!",NONE
"@deba12334 por qué siempre en las finales los hacen los domingos y todos al siguiente día trabajan, van a la escuela y no se pueden",N
Wooooow que curativo es esto!!!! Me hace parecer menos perra y un poco mas agradable Me gusta,P
@soyalannavarro me pregunto: ¿habrás leído mi tweet y te sorprendiste por que ese es mi máximo nivel creativo? Me temo que sí.,N
@elciempies para nada ella ama México y siempre quiere venir. Por eso vino gratis a tajin. Desde su álbum pasado esta que muere por venir,P
@Tribuna_I Apenas inició el torneo y ya están diciendo si YA VA LA BUENA para @Chivas Hay equipos mejores que el Rebaño,NEU
"@konemak Hay películas que por acuerdos de sus distribuidoras, es de la única manera en pueden estar dentro del catálogo",NONE
@lizpedroza Hermosa estos días tengo un arañas alacranes ratas y murciélagos en mi carta jajajaja Es impresionante la química del cerebro,N
"@ContactoCitibmx en la mañana habían retenido la compra en linea porque pensaban que era fraude con la tarjeta, pero ya lo resolvieron.",P
"@NekoJitaBlog Yo por un bolillo con mayonesa, huevo, frijoles y mucho chile... Ahhhh... es un antojo muy malo...lo sé...",N
@nahimachoura que te pareció el tercer uniforme de nuestras aguilas? A mi no me gustó pero se ve mejor que el de local...chale..,N
"@elavelden Acá en Ecuador aún falta para el final de la telenovela, no me pierdo ningún capítulo. Un abrazo y excelente semana",P
#BuenosDias mundo Twittero ya empezó la segunda semana del año y estoy mas que listo para vivir un día mas,P
"@FidelZevi esta bien, no insistas",NEU
"@Cinemex ¡Hola! Oigan reponganos las entradas de ayer con unas nuevas, por lo ocurrido ayer en Cinemex Portal Vallejo, por favor.",N
"@ErickValdes_ JAJAJAJAJAJA trague puro brócoli y coliflor con pollo ahorita para echarme las tostadas, me las merezco",P
@qtf Yo no opino lo mismo... escribe muy similar a mi hijo de 9 años... ya tiene firma!!,NEU
"@MFollowill muchas gracias Mark, si ya no puedo esperar , @swish41 y su tiro perfecto gracias por venir a México ???? #MFFL",P
Para qué hablan de clandestino,NONE
"Ayer me robaron descaradamente, jamás acompañes a tu mamá al centro comercial con tu tarjeta de la beca",N
Que feo ver del otro lado de mi lugar de trabajo que están comiendo cheetos y yo acá valiendo verga,N
Lo bueno de ser un sin amigos es que puedo llegar a la hora que quiera a los lugares que quiero visitar.,NEU
"Recorrí toda la ciudad en un dia con mi mejor amigo, que trip",P
Es normal que después de todo un fin con mi novio ahora lo esté extrañando?... ._. ya traiganmelo,N
@PiojitoPersa aguante los fritos con mateeeees linda!!! (Quiero fritos ahora ahre) encima estoy tomando mates ahre,P
¿Alguien tiene algún pdf donde se describan las etapas del desarrollo humano? Sobre todo la de la senectud. POR FAAAA.,NONE
Cada que hablo contigo mi corazón se pone feliz pero eso no se nota a través de una pantalla,P
Ya tengo mi principal propósito de este año,P
"Regla básica para hacer una fiesta de cumpleaños... TENER AMIGOS, no sé a quién invitar",N
"@crystinahotwife @CyDiosas Se ve hermosa! Me dan ganas de comerme todo eso y con este frío, de estar adentro",P
"@VivaAerobus Hola, ¿Se puede hacer web-checkin e imprimir el pase de abordar si viajo en viva light? La página dice que no...",N
Ya me está doliendo la cabeza de estar todo el día acostada. Por qué soy así??,N
"""Elle"" es increíble, pero mi raíz latina pedía a gritos ""Neruda"" #GoldenGlobes",NONE
"Extraño a mis comprañeros roberto, osvaldo, julio y leo eran increibles al igual que mis super jefes!",P
Yo solo quiero adelantar mi vuelo a Chicago,NONE
"Hola @raramo74! vamos a estar al pendiente de esa ruta y en caso de que encontremos algo a buen precio lo publicamos, Saludos!",P
Es triste quitar todas las cosas de Navidad,N
Cuando piensas que las cosas van a toda madre y la cagan la vida es un riesgo carnal!,N
@EverCufl Ay que grosero eres conmigo,N
@ana_sofmt oye perame que si buzzfeed es pendejo entonces el amor de mi vida no es el amor de mi vida y eso sería triste,N
@luismartiinez28 yo estoy en primera fila,NONE
Siempre el más guapo Ay,P
"Ya sé, tengo que leer a Mishima pero se me atravesó el estúpido y sensual Joyce con Dublineses y tenía que estrenar mis marcadores.",P
por que no nací con las cejas pobladas,N
"Odio tener una voz horrible y que a la vez ame cantar, no es justo ¿por que la vida me trata tan mal?",N
@josciv por eso es importante escucharlo,P
"@aimeraus @GLaveaga @debatelibros No, no sabía que existía, lo leeré ya acabaste el primero?",NONE
"Hoy es cumpleaños el maestro Bowie, un capricornio en todo sentido, que en paz descanse. Hay nuevo EP y sonó su legado hoy en carretera",P
Que rica siestesita me aventé hasta pensé que ya era de mañana porque me levanto la alarma,P
Paseito... Laika cumple en pocos días 5 años... 5 la condenada !!!!! #ILoveDogs #ThePack…,P
"Amigos, me llevo el premio a la ansiedad. Parece que me bebí el reino del café ando mal",N
me sorprende la homofobia y sus manifestaciones inesperadas... lo digo por mi,N
Ojalá me dijeran que estoy bonita tanto como se lo dicen a sergio quembidia pero esque esta hermoso unu,P
Mi lechuza tan retrasada por la distancia y ahora con el muro se va a estrellar con todo y mi carta a Hogwarts,N
@Soul_Vedder que bueno que mi primer boda del año es en abril jajajajaj  al menos será la mitad de como le veo ahora,N
@hlahumberto pos' se ve mal se traba y está grabada del cine #Shame.,N
Llegan tiempos difíciles y lo único que me queda es afrontarlos y seguir adelante,NEU
"@CocaHdz_ Ya se, pero no puedo evitarlo !!! En vdd que si haces eso, sería como mi mejor regalo #LaVdd",P
Hay veces que uno se siente un extranjero hasta en su propio país,N
"Ahora están tocando Arabella suena igualito a Alex Turner, seguro es Guajardo",NONE
"@yestermansux Oye vi una hiper padre en Morelia, no así pero muuuy chida. Costaba como $200. Si la quieres, me avisas.",P
@FerReyees19 @Abiel_Vasquez @ElPabloDeVerdad yo tenía pensado sacar la del fogo y una optativa de 2C para poder meter electromagnétismo,NEU
@MartinCaligaris Es mí Martina Jajaja Regresaste a los saltos mortales!!! Eso es bueno Te quiero mucho! Beso de regreso muack muack,P
Envenenaron al Bruno Ya lo atendió el veterinario pero tengo miedo de que no aguante.,N
@marthamedecigo ay no! y si con él si quiero arriesgarme? Es que necesito contarte amixxx,P
"Para los que el día de mañana regresan a clases, que en este nuevo semestre cumplan todos sus objetivos y les sea muy exitoso! #ADarle",P
"@IronGeen ñammm. Ya se me antojó una deliciosa cema, vamos por una",P
"@Jhovanny920218 la vdd si, jaja pero yo me curo rápido de eso. Ya la perdone. Gracias!!",P
Ah no verdad? Jajaj nadie entendió mi chiste que imbécil soy hahaha,N
@CelopanYT @RoEnLaRed estando tan cerca pero tan lejos a 45min de distancia siendo exactos. Jajajaja,P
"Otra noche... Buenos días, alguien sabe por cuantas mas pasare?!?!",NONE
@Swimmer_IT sabíamos que su partida traería graves consecuencias.,N
"@yarisflores punto a favor jijiji, la cosa es que hoy si hice de todo menos quedarme en camita",P
"Aunque ya llegue y eso esta padre, la triste realidad es que sigo teniendo hambre.",N
@AleBaIe_ iba a ponerle lo mismo,NONE
"Una vez mas... Mi pensamiento invade mi sueño... Se te extraña, ya quiero ser normal otra vez!!!",N
Según uno de mis propósitos es leer más pero ya estamos a 8 de Enero y no he comprado ni un libro nuevo,N
Risitas estás ahí ??? ...bueno no importa sólo pasaba a desearte buenas noches @soyalannavarro ...descansa,P
"@la_sol_soleil Hola Sol, hemos confirmado que la señal se transmitió correctamente en la región, por favor revisa con tu cableoperador",NONE
"@Paulitm Paulina, confirmamos que la señal se transmitió correctamente en la región, por favor revisa con tu cableoperador",NONE
@CaELiKe Estuve contigo en la transmisión saludos hermosa quisiera poder vertw y darte un mega abrazo y un besote te quiero,N
"@edo_diaz ¡Hola! Hemos confirmado que la señal se transmitió correctamente en la región, por favor revisa con tu cableoperador",NONE
Mañana de nuevo a la realidad!! Amorsitooo muy buenas vacas de tu trabajo!! Excelente estar juntitos con Mati,P
Por poquito y se comen a mi perrito,N
Jueputaaaa extraño mi bici. Esta panza de camionero me va a matar,N
"@Ferchitomen11 checa con waze rutas alternas, xq el trafico viene rudo hasta la altura del parque chitla! Y gracias! Que llegues pronto",N
A todos los artistas de tumblr les llegan preguntas o cumplidos sobre su arte y a mi me preguntan si soy lesbiana ... fucking great.,N
@luixuz Yo también No te dí permiso de que te fueras y me dejaras sola con el bebé,N
Que triste que estas con alguien tan vacía,N
"#s900 uy! Feliz primer lunes del 17! Un gustazo escucharlos en Querétaro frío, pero chido",P
Denme una llenadera porque dicen que no tengo,NEU
"Escuchan ""Now You're Gone"" de @VivandTheSect, uno de los mejores discos del 2016 #PropuestaMañanera",P
@Germagnate ahahahahah buenos días joven! Feliz año!,P
Mi mamá cumple años hoy. Y este es uno de los días más felices para mí La amo mucho.,P
"Son 8:26 y yo ya me estoy visualizando en mi cama durmiendo, cuando salga de trabajar",P
"Que no se pierda la bonita costumbre de empezar el año, la semana, el mes valiendo verga en el amor y en todo",N
"@susana_tb Feliz 2017 Su y feliz vida... awww qué bonito pingü, muero de amor. Un abrazo muy grande",P
"@ROSYARANGO dicen que cuidar a un recién nacido es trabajo en equipo, así que yo le cambio el pañal",P
"En el mismo lugar, con distinta gente",NEU
¿En dónde consigo unos buenos nachos de pastor hoy 1 de Enero?,NONE
Mi carro ya no suena feo wuuwu. Juro que ya no le haré más daño hahaha,NEU
"@AxelMishael es una ciudad hermosa llena de cultura,con gente bella y comida deliciosa. Muero por volver! Disfrutá mucho",P
@DraAChvez que mala pata ojalá te recuperes pronto! Feliz año!,P
De verdad yo no creo estar tan delgada como dicen que estoy y menos despues de todo lo que he tragado este mes,N
Mi amigo me va a odiar por dejarlo plantado Porque le dije que íbamos a ir a una peda y pues ya no me dieron chance,N
"Empiezo el año como dije, bien dormida y muy enamorada",P
"@mariobautista_ Soy mala Bautister, no puse el 11:14",N
"Primero quiero formar un equipo inicial: Lurantis, Primarina, Mimikyu, Salamence, Krookodile, Sylveon. Que mal que no está Mawile",N
"@jair_mendieta me insultas noo, solo quiero verte",NEU
"@AletzAGoGo @robblie lo odio!!!, nececito claridad",N
@MarlenTrevino aaaa jaja tons si a de estar buena. La de 24hrs. está pasada de lanza. Saludos Marlen y feliz año,P
"@Liebehaeschen nop, este crush era nuevo y no había hablado de él aquí para no salarme era muy perfecto para mi peronirogarle",N
"Dices que me.entiendes pero se que pasará lo mismo, te enfadaras y ya no me vas a hablar",N
Según yo sólo vería los capítulos que me hacían falta y ya vi la mitad de la serie hahaha,NONE
"Ya me cayó mal estar de vacaciones porqué me duermo muy tarde, cuando mi hora para dormir es a las 9 o 10",N
#este2017 la historia tiene que cambiar prometo hacer lo posible por tener novia este año,NEU
Empece el año con una gripe bien perra y atascada estoy muriendo gggg ????????,N
"@Arissima yyyy gracias, te vamos regalar una playera",P
Ya estuve sola antes y sé que todo estará bien.,P
Primera vez en 5 años que no te doy mis mejores Deseos,N
@mariobautista_ Daría todo por un disco tuyo autografiado,P
Neta que mi novio se fue al santo a esta hora? Pa' esos novios mejor ando conmigo misma ya que soy bien antrera,N
Y se acabó diciembre mi mes favorito,P
"@HazzaLovesMe69 Que raro, desde hace rato que tengo los DMs desbloqueados ¿Pasó algo?",NONE
Hoy todo el día estuve triste porque ya mero entro a la facu,N
"Como no va a ser esencial lo bonito de la vida, su bella amistad.",P
Como cuando sigo de vacaciones pero me tengo que desvelar por reportes de servicio social.,N
le mande un mensaje a mi ibf por año nuevo y aun no me contesta jajaj,NEU
@DignaRabieta ustedes venían enfiestados uno ya tenía vv más de cinco horas pues qué pues,P
"@pwoblematique la edad jajaja ntc, pues no sé, supongo es normal digamos q me pasó igual pero con los videojuegos encontré mi máximo",P
"puras fotos lutteo en mi tl, basta me hacen extrañarlos",N
Ya llegue a un punto de mi vida que mi enfermedad es más grande que mis ganas de beber! Perdón amigos les estoy fallando,N
Me da miedo venir a esta clase de lugares no vaya a ser que me tope a algún conocido,N
15 días sin uno de esos abrazos mágicos,N
"Hoy entre a sephora y los productos de benefit están bien caros, casi salgo llorando de ahí.",N
"Última clase de FMA del año Filipino Martial Arts @ Monterrey, Mexico",N
@michicheel ay jajaja pero si estoy enamorada de apu,P
"@ItzeelF18 ¡Con mucho gusto! De entrada, por aquí los mejores deseos para el año que ya llega.",P
"@MarqoOrtiz Y ya que recomendaste Black Mirror, incluso la temp. 3 (tan criticada), la anoto entre los pendientes",P
Es lo unico que me se de la cancion jajajaja que oso,NEU
"O sea si, ya estoy mas cachetonq, pero hay fotos donde de plano me veo completamente con obesidad mórbida.",N
Soy mas complicado que una mujer jajajajaja,N
"@CFE_GolfoNte @Cicmty buenos días, seguimos sin servicio!",N
"Se viene la goleada, ya pitale árbitro... O quiten a Ochoa para que no se lo chinguen",N
"Que gane el Madrid, pero que mi Ochoa no salga tan mal parado",NEU
@minideeharry yo pensé que ya te habías olvidado de nuestra hermandad chingona lo que es tener vida social y olvidarse de uno,P
"@g_yubari y seguir el consejo del lobo de caperucita roja: oirte mejor, verte mejor y comerte mejor",P
Siempre soy la culpable de la mierda de todos ¿no?,N
Mi abuelo no sabía que tenía segundo nombre,N
"Maldito jet lag, acabo de despertar a las 2 am",N
"@intrascendente jajaja ya es parte de ti y está bonito y está bien, hombre",P
"@katikatkats no tengo fotos suyas, espero que sea real y que no exista solo en mi mente u.u",NEU
Sí sentí feo cuando ví que se iba a ir a vivir a CDMX,N
@Elenacastillo08 Yo tambien y me faltan 2 añales,NONE
Mas cuando no tienes a alguien que te de esas palabras de aliento que necesitas para sentirte mejor,N
"Odio que mi celular se ponga así Odio tuitear desde la compu, no puedo poner emojis.",N
Feeeliz dia a todas las enfermeras del mundo mundial son lo mejor que hay,P
@Cognified te juro que si tuviera Pc gamer o una decente jugaría también ahí,N
@MeDicenLoya neta no pensaste en mi? Cortalas,N
Estoy aburrida pero me invitan a lugares y me da flojera salir,N
Hoy fue ese detalle!!!! happy!!!!,P
Hola doc @AlbertoMunoz alguna recomendación para hospedarme en SFO o LA?? Si tiene un contacto mucho mejor gracias,NONE
@futaztecadep Saludos al profe David y al @martinolimx! Feliz 2017 Maestros de la narración.. Carajo!!!! diría el Dr. Garcia,P
Que suave que me contestaras más rápido,P
"Y si haz dormido con alguien más, SI HOY duermes con alguien porfa no la abraces y no le digas que la quieres",N
Lo bueno que ayer partí rosca con mis amigos porque hoy no partiremos con mi familia,NEU
@drlejtik @TauroAgencia @LaPlazaMexico jaja insisto se pondra buenisimo,P
¡QUE YA SEA 28! Ya quiero ver a @AdiosParismx me hace falta olvidarme de todo con buena música en vivo.,P
"La soberbia no es nada buena, no confíes en el ni en ella!",NEU
"@alexjuxx yo quiero un novio como tu una vez dijiste ""Que me procure"" Jajajajajajajaja, no, pero en serio si",P
Me salió el mono en la rosca... creo será la única sorpresa de mi año,N
@Fershymp es un lamentable reflejo de la realidad y el nivel de educación que impera en México,N
"@xxleonxx67 en fin da igual, al final ya están así los asalariados, y amigo, se escribe elotadoras",N
"@Fershymp es correcto, falta mucho para y por eso nunca estamos unidos como compatriotas",N
"Cuando la cago y mi no, novio esta enojado conmigo, se me hace un pinche nudo en la vagina",N
Lo malo de estar enferma es que la comida no me sabe a nada,N
"#convocatoriaunam alguien que sea tan amable de mandar el link para registrarse x favor, no lo encuentro",NONE
Hay una gran parten de odio en mi,N
"""@monssev12: We, yo solo quiero que alito y lapizito me quieran, ¿Es mucho pedir?"" X2 @lapizito123",P
@AlexiaPalacio me dan asco los higos o no sé qué y todo en general,N
Parti 3 roscas diferentes y en las 3 me salio el niño!! Algo estoy haciendo mal,N
"@Cbrrrx yo solo robo corazones, daysino, ni eso puedo robar",N
@soyrosalet @SwarmApp Linda noche Ross extraño escuchar tu voz saludos desde Playas de Rosarito Baja California,N
Y está vez estaban bonitos los que trajo la rosca #VideoMTV2016 Abraham Mateo,P
Cuando la tormenta eres tu mismo.,N
@PammGonzaleez no mames ahora quedaré como pendejo porque no pude ir de nuevo,N
Alguna serie buena? No? Ninguna?,NONE
Cancún quiero volver a ti te extraño,N
Necesito una nueva mejor amiga xq mi mejor amiga está muy ocupada para mi,N
"@Manuellflorod Bienvenida (triste) realidad, andamos en las mismas, pero no hay de otra",N
"Lo triste de las vacaciones, es cuando haces maletas para regresar a la rutina.",N
Ahora por floja me voy a dormir tarde,N
"@vidal_guitar eso es lo angustiante nada de información segura, muchas gracias por responder",NEU
